run_dir,checkpoint_dir,prefix,experiment_name,target_type,model_type,use_lct_riesz,naive_rule,epochs,best_epoch,rmse,mae,mse,mape,r2,directional_accuracy,best_val_loss,test_loss,created_at
experiments\tcn\outputs\volatility_5\baseline_signal_features\20260713_192701,experiments\tcn\checkpoints\volatility_5\baseline_signal_features\20260713_192701,experiment,tcn_volatility_5_baseline_signal_features,volatility_5,plain_tcn,False,,20,14,0.03797125545567717,0.03402326653674347,0.0014418162408802934,210.669894995481,-11.412654404092867,,0.0003725278047593336,0.0014418162491721483,2026-07-13T19:33:29
experiments\tcn\outputs\volatility_5\baseline_signal_features\20260713_200655,experiments\tcn\checkpoints\volatility_5\baseline_signal_features\20260713_200655,experiment,tcn_volatility_5_baseline_signal_features_lr3e4,volatility_5,plain_tcn,False,,20,20,0.02526018708887404,0.020408026601842502,0.0006380770517649188,158.70451234875324,-4.4932311775769405,,0.0004684658025644114,0.000638077054101496,2026-07-13T20:13:42
experiments\tcn\outputs\volatility_5\baseline_signal_features\20260714_192542,experiments\tcn\checkpoints\volatility_5\baseline_signal_features\20260714_192542,experiment,tcn_volatility_5_baseline_signal_features_lr3e4_40epoch,volatility_5,plain_tcn,False,,40,33,0.014728155119698473,0.010913256223363471,0.00021691855322990034,61.07306709023433,-0.8674606088738896,,0.0002849693770088081,0.00021691855140132228,2026-07-14T19:37:56
